               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033943,            0.009546,            0.012666,             0.90381,             0.82683,             0.90274,             0.40089,            0.036273,           0.0034391,           0.0066482,            0.070032,           0.0033298,           0.0033298
                   1,             0.03137,           0.0085458,           0.0085448,             0.91817,              0.8565,             0.92138,             0.53739,             0.02819,           0.0032651,           0.0072036,            0.036734,           0.0033649,           0.0033649
